ID,ticket_context,category,Subcategory
1,"I keep getting a KeyError when trying to access a dictionary in my Python script. I checked the key exists but it still fails after the .get() call.",Unknown,Unknown
2,"My pandas DataFrame merge is producing duplicate rows I don't expect. I'm using left join on two dataframes with a common ID column.",Unknown,Unknown
3,"Python virtualenv is not activating on Windows. Running 'source venv/bin/activate' gives an error. I'm using Python 3.11.",Unknown,Unknown
4,"Getting a NullPointerException in my Java Spring Boot service when calling the REST endpoint. The object seems to be null after deserialization.",Unknown,Unknown
5,"Java Maven build is failing with 'package does not exist' even though I added the dependency in pom.xml. Using Java 17.",Unknown,Unknown
6,"My Spring Boot @Autowired bean is not injecting properly. Getting 'No qualifying bean of type' exception on startup.",Unknown,Unknown
7,"React component is re-rendering infinitely. I have a useEffect with a state update inside and no dependency array.",Unknown,Unknown
8,"Getting CORS error in my React app when calling the backend API. The request is blocked by browser policy.",Unknown,Unknown
9,"React useState is not updating immediately after calling the setter. I need the latest value right after setState.",Unknown,Unknown
10,"My Azure DevOps pipeline is failing at the deploy stage. The ARM template deployment returns a 409 Conflict error.",Unknown,Unknown
11,"Azure Blob Storage SAS token keeps expiring before the upload completes for large files over 2GB.",Unknown,Unknown
12,"Azure Active Directory app registration is not returning the correct claims in the JWT token for my web app.",Unknown,Unknown
13,"Getting a 403 error when my Cloud Function tries to write to BigQuery on GCP. Service account permissions look correct.",Unknown,Unknown
14,"GCP Pub/Sub messages are not being delivered to my subscriber. The subscription shows messages but they never arrive.",Unknown,Unknown
15,"My Terraform plan for GCP Cloud Run is failing with 'resource already exists' even though I destroyed it.",Unknown,Unknown
16,"Power BI report is not refreshing the dataset on schedule. The refresh history shows 'failed' with no clear error message.",Unknown,Unknown
17,"DAX formula in Power BI is returning blank instead of the calculated value. Using CALCULATE with a date filter.",Unknown,Unknown
18,"Power BI embedded report is not showing data for the row-level security user I configured in the dataset.",Unknown,Unknown
19,"My C++ vector iterator is becoming invalid after push_back. The program crashes with a segmentation fault.",Unknown,Unknown
20,"C++ template function is not being recognized by the compiler when called from a different translation unit.",Unknown,Unknown
21,"Getting a memory leak in C++ application. Valgrind shows leaked blocks but I can't trace which class is responsible.",Unknown,Unknown
22,"SQL query is running for 45 minutes on a table with 10 million rows. No indexes exist on the join columns.",Unknown,Unknown
23,"Getting deadlock errors in SQL Server when two transactions try to update the same rows simultaneously.",Unknown,Unknown
24,"My stored procedure in PostgreSQL returns different results when called with the same parameters on different days.",Unknown,Unknown
25,"Node.js Express server crashes with 'EADDRINUSE' when I restart the app. Port 3000 is stuck.",Unknown,Unknown
26,"NPM install is failing with 'ERESOLVE unable to resolve dependency tree'. Two packages need conflicting React versions.",Unknown,Unknown
27,"My Node.js async function is not awaiting the database call properly and returns undefined instead of data.",Unknown,Unknown
28,"Kubernetes pod keeps crashing with OOMKilled error. Memory limit is set to 512Mi but usage spikes to 700Mi.",Unknown,Unknown
29,"Docker container exits immediately after start with code 137. The application runs fine locally outside container.",Unknown,Unknown
30,"Helm chart deployment fails with 'Error: UPGRADE FAILED: cannot patch resource with kind Deployment'.",Unknown,Unknown
31,"My machine learning model accuracy drops significantly when I switch from training data to production data.",Unknown,Unknown
32,"Getting shape mismatch error in TensorFlow when passing batches of different sizes to my neural network.",Unknown,Unknown
33,"Scikit-learn pipeline is throwing ValueError during fit when one of the transformers expects a DataFrame but gets array.",Unknown,Unknown
34,"GitHub Actions workflow is not triggering on push to the feature branch. The branch filter looks correct.",Unknown,Unknown
35,"Git merge conflict markers are left in the file after resolving. The build is failing because of the conflict syntax.",Unknown,Unknown
36,"My Jenkins pipeline is stuck at 'waiting for executor' and jobs are queued but not running.",Unknown,Unknown
37,"TypeScript type error: 'Property does not exist on type'. I'm trying to add a custom property to an Express Request object.",Unknown,Unknown
38,"Angular service is returning Observable<any> but my component expects Observable<User[]>. Type casting is not working.",Unknown,Unknown
39,"Vue 3 Composition API: my reactive ref is not triggering the template to re-render when I update a nested object property.",Unknown,Unknown
40,"My REST API returns 200 OK but the response body is empty when the client calls it from a mobile app but works from Postman.",Unknown,Unknown
